

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
860.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-multiple-cursors\plugin\multiple_cursors.vim
862.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\matchit.zip\plugin\matchit.vim
867.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline.vim
871.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\init.vim
874.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\parts.vim
875.000  011.000  011.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\plugin\airline.vim
877.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline-themes\plugin\airline-themes.vim
882.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-bufferline\autoload\bufferline.vim
883.000  004.000  004.000: sourcing C:\Users\sshen\.vim\bundle\vim-bufferline\plugin\bufferline.vim
896.000  012.000  012.000: sourcing C:\Users\sshen\.vim\bundle\vim-easymotion\plugin\EasyMotion.vim
899.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\undotree\plugin\undotree.vim
906.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-indent-guides\autoload\indent_guides.vim
906.000  006.000  005.000: sourcing C:\Users\sshen\.vim\bundle\vim-indent-guides\plugin\indent_guides.vim
908.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\restore_view.vim\plugin\restore_view.vim
910.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-signify\plugin\signify.vim
913.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-abolish\plugin\abolish.vim
915.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-over\plugin\over.vim
923.000  002.000  002.000: sourcing C:\Users\sshen\.vim\bundle\vim-textobj-user\autoload\textobj\user.vim
927.000  010.000  008.000: sourcing C:\Users\sshen\.vim\bundle\vim-textobj-indent\plugin\textobj\indent.vim
932.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\wildfire.vim\autoload\wildfire\triggers.vim
933.000  004.000  004.000: sourcing C:\Users\sshen\.vim\bundle\wildfire.vim\plugin\wildfire.vim
934.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-litecorrect\plugin\litecorrect.vim
936.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-textobj-sentence\plugin\textobj\sentence.vim
939.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-textobj-quote\plugin\textobj\quote.vim
941.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-wordy\plugin\wordy.vim
947.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\autoloclist.vim
948.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\balloons.vim
949.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\checker.vim
950.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\cursor.vim
951.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\highlighting.vim
954.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\loclist.vim
955.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\modemap.vim
956.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\notifiers.vim
958.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\registry.vim
959.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\signs.vim
966.000  002.000  002.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\autoload\syntastic\util.vim
